id;amount;status;created_at;updated_at;user_id;moderated_at;deleted_account_id;reimbursement_date;cash_request_received_date;money_back_date;transfer_type;send_at;recovery_status;reco_creation;reco_last_update;payback_delay_days;payback_delay_days_cifra
21671;100.0;money_back;16/10/2020;18/12/2020;69302.0;;;;20/10/2020;29/10/2020;instant;16/10/2020;;;;<9 * Days>;9
21673;100.0;money_back;16/10/2020;18/12/2020;70091.0;;;;20/10/2020;03/11/2020;instant;16/10/2020;;;;<14 * Days>;14
23715;20.0;money_back;23/10/2020;18/12/2020;76784.0;;;;24/10/2020;05/11/2020;instant;23/10/2020;;;;<12 * Days>;12
17084;50.0;money_back;21/09/2020;18/12/2020;1257.0;21/09/2020;;;23/09/2020;23/10/2020;instant;28/09/2020;completed;16/10/2020;23/10/2020;<30 * Days>;30
17038;100.0;money_back;21/09/2020;18/12/2020;22233.0;21/09/2020;;;22/09/2020;17/10/2020;instant;28/09/2020;completed;16/10/2020;17/10/2020;<25 * Days>;25
12048;100.0;money_back;11/08/2020;18/12/2020;35696.0;12/08/2020;;06/10/2020;13/08/2020;06/11/2020;instant;18/08/2020;completed;16/10/2020;06/11/2020;<85 * Days>;85
23577;50.0;money_back;23/10/2020;18/12/2020;34305.0;24/10/2020;;;27/10/2020;13/11/2020;instant;23/10/2020;;;;<17 * Days>;17
21693;100.0;money_back;16/10/2020;18/12/2020;72208.0;;;;20/10/2020;05/11/2020;instant;16/10/2020;;;;<16 * Days>;16
14969;100.0;money_back;07/09/2020;18/12/2020;18711.0;07/09/2020;;;09/09/2020;13/11/2020;instant;14/09/2020;completed;16/10/2020;13/11/2020;<65 * Days>;65
21688;100.0;money_back;16/10/2020;18/12/2020;75616.0;;;;17/10/2020;30/10/2020;instant;16/10/2020;;;;<13 * Days>;13
23892;50.0;money_back;24/10/2020;18/12/2020;87328.0;;;;27/10/2020;04/12/2020;instant;24/10/2020;;;;<38 * Days>;38
21691;100.0;money_back;16/10/2020;18/12/2020;46899.0;;;;17/10/2020;06/11/2020;instant;16/10/2020;;;;<20 * Days>;20
21700;50.0;money_back;16/10/2020;18/12/2020;71353.0;;;;19/10/2020;30/11/2020;instant;16/10/2020;;;;<42 * Days>;42
17202;50.0;money_back;22/09/2020;18/12/2020;34581.0;22/09/2020;;16/10/2020;25/09/2020;16/10/2020;instant;06/10/2020;;;;<21 * Days>;21
21686;100.0;money_back;16/10/2020;18/12/2020;34208.0;;;;19/10/2020;28/10/2020;instant;16/10/2020;;;;<9 * Days>;9
10986;100.0;money_back;05/08/2020;18/12/2020;12070.0;06/08/2020;;;06/08/2020;31/10/2020;instant;12/08/2020;completed;16/10/2020;31/10/2020;<86 * Days>;86
